"MultiAnalytics", "MultiAnalytics",
"MultiAnalytics_Configuration", "Multi Analytics",
"MultiAnalytics_Debug_Help_Message", "डिबग मोड सक्षम करता है - केवल परीक्षण प्रयोजन के लिए",
"MultiAnalytics_Enable", "मॉड्यूल सक्षम करें",
"MultiAnalytics_Enable_Help_Message", "आपके Magento फ्रंटएंड में Multi Analytics आइकन सक्षम करता है",
"MultiAnalytics_EnableDebugMode", "डिबग मोड सक्षम करें",
"MultiAnalytics_Facebook_Domain_Verification_Code", "Facebook डोमेन सत्यापन कोड",
"MultiAnalytics_Facebook_Domain_Verification_Code_Help_Message", "उदाहरण:- ufligc19hgf0euqanm3qjv11g2e5k5",
"MultiAnalytics_Facebook_Pixel_Code", "Facebook Pixel कोड",
"MultiAnalytics_GeneralOptions", "आम विकल्प",
"MultiAnalytics_Generate_RSS_Feed", "उत्पाद फ़ीड जनरेट करें",
"MultiAnalytics_Google_Data_Layer_ID", "डेटा स्तर आईडी",
"MultiAnalytics_Google_Data_Layer_ID_Help_Message", "उदाहरण:- UA-119002088-8",
"MultiAnalytics_Google_Product_Feed_Link", "उत्पाद फ़ीड लिंक",
"MultiAnalytics_Google_Submit_Feed", "अपना फ़ीड सबमिट करना",
"MultiAnalytics_Google_Tag_Options", "Google Tag विकल्प",
"MultiAnalytics_Facebook Options", "Facebook विकल्प",
"MultiAnalytics_Google_Tag_ID", "Google टैग आईडी",
"MultiAnalytics_Google_Tag_ID_Help_Message", "उदाहरण:- G-49NVV979NC",
"MultiAnalytics_Google_Tag_Manager_ID", "टैग मैनेजर आईडी", 
"MultiAnalytics_Google_Tag_Manager_ID_Help_Message", "उदाहरण:- GTM-TV81PR6",
"MultiAnalytics_RSS20Link", "उत्पाद फ़ीड लिंक"